club,league,entry_detail
Milton Stags,Coalition (Summer 2025),Gr5 + Gr8 (entry 1)
Milton Stags,Coalition (Summer 2025),Gr5 + Gr8 (entry 2)
Vaughan Panthers,Coalition (Summer 2025),Gr7G (entry 1)
North Toronto Huskies (NTBA),Coalition (Summer 2025),Gr4G (entry 1)
Etobicoke Thunder,Coalition (Summer 2025),Gr5B (entry 1)
Barrie Royals,Coalition (Summer 2025),Gr5G (entry 1)
Blessed Sacrament (Yellow Jackets),Coalition (Summer 2025),Gr11B (entry 1)
Toronto Triple Threat,Coalition (Summer 2025),Gr7G (entry 1)
Silver Knights (SilverKnights Elite),Coalition (Summer 2025),Gr8G (entry 1)
The MUMBA Mentality,Coalition (Summer 2025),(entry 1)
The MUMBA Mentality,Coalition (Summer 2025),(entry 2)
The MUMBA Mentality,Coalition (Summer 2025),(entry 3)
The MUMBA Mentality,Coalition (Summer 2025),(entry 4)
The MUMBA Mentality,Coalition (Summer 2025),(entry 5)
The MUMBA Mentality,Coalition (Summer 2025),(entry 6)
The MUMBA Mentality,Coalition (Summer 2025),(entry 7)
The MUMBA Mentality,Coalition (Summer 2025),(entry 8)
The MUMBA Mentality,Coalition (Summer 2025),(entry 9)
The MUMBA Mentality,Coalition (Summer 2025),(entry 10)
The MUMBA Mentality,Coalition (Summer 2025),(entry 11)
The MUMBA Mentality,Coalition (Summer 2025),(entry 12)
The MUMBA Mentality,Coalition (Summer 2025),(entry 13)
The MUMBA Mentality,Coalition (Summer 2025),(entry 14)
The MUMBA Mentality,Coalition (Summer 2025),(entry 15)
The MUMBA Mentality,Coalition (Summer 2025),(entry 16)
The MUMBA Mentality,Coalition (Summer 2025),(entry 17)
The MUMBA Mentality,Coalition (Summer 2025),(entry 18)
YvY,Coalition (Summer 2025),(entry 1)
YvY,Coalition (Summer 2025),(entry 2)
YvY,Coalition (Summer 2025),(entry 3)
YvY,Coalition (Summer 2025),(entry 4)
YvY,Coalition (Summer 2025),(entry 5)
YvY,Coalition (Summer 2025),(entry 6)
YvY,Coalition (Summer 2025),(entry 7)
YvY,Coalition (Summer 2025),(entry 8)
YvY,Coalition (Summer 2025),(entry 9)
YvY,Coalition (Summer 2025),(entry 10)
YvY,Coalition (Summer 2025),(entry 11)
YvY,Coalition (Summer 2025),(entry 12)
Eurostep,Coalition (Summer 2025),(entry 1)
Eurostep,Coalition (Summer 2025),(entry 2)
Eurostep,Coalition (Summer 2025),(entry 3)
Eurostep,Coalition (Summer 2025),(entry 4)
Eurostep,Coalition (Summer 2025),(entry 5)
Eurostep,Coalition (Summer 2025),(entry 6)
Eurostep,Coalition (Summer 2025),(entry 7)
Eurostep,Coalition (Summer 2025),(entry 8)
Eurostep,Coalition (Summer 2025),(entry 9)
Eurostep,Coalition (Summer 2025),(entry 10)
Eurostep,Coalition (Summer 2025),(entry 11)
Burloak,Coalition (Summer 2025),(entry 1)
Burloak,Coalition (Summer 2025),(entry 2)
